first_date_metadata_received,last_date_metadata_received,edp_site_id,postcode,state,site_timezone,monitoring_hardware,inverter_manufacturer,inverter_model,inverter_ac_rating_kw,inverter_count,subarray_manufacturer,subarray_model,subarray_orientation,subarray_tilt,subarray_strings,subarray_modules_per_string,subarray_dc_rating_kw,islandable,has_battery,battery_size_make_model,limit_enabled,limit_amount,limit_applied
14/04/2022,30/06/2022,S0407,5038,SA,Australia/Adelaide,SC-23,SMA,Sunny Boy SB 4000 TL-21,4,1,REC,REC 250PE,24,24,1,7,1.75,,f,,,,
14/04/2022,30/06/2022,S0416,5067,SA,Australia/Adelaide,SC-23,SolaX Power,X1-5.0T,5,1,Tindo Solar,Karra-295,174,5,1,22,6.49,No,f,,,,
14/04/2022,30/06/2022,S0422,5095,SA,Australia/Adelaide,SC-23,SolaX Power,X1-2.0,2,1,Tindo Solar,Karra-270,1,21,1,8,2.16,No,f,,,,
14/04/2022,30/06/2022,S0423,5108,SA,Australia/Adelaide,SC-23,SMA,Sunny Boy SB 5000TL-US-22 - 240V,5,1,REC,REC 255PE,-90,22,1,12,3.06,No,f,,,,
14/04/2022,30/06/2022,S0440,5040,SA,Australia/Adelaide,KR-63,Fronius,Fronius Symo 8.2-3-M,8.2,1,Generic Module,305W,-2,25,1,10,3.05,No,f,,,,
14/04/2022,30/06/2022,S0451,5277,SA,Australia/Adelaide,SC-23,SolaX Power,X1-5.0T,5,1,Tindo Solar,Karra-295,0,18,1,10,2.95,,f,,,,
14/04/2022,30/06/2022,S0456,5170,SA,Australia/Adelaide,SC-23,SolaX Power,X1-5.0T,5,1,Tindo Solar,Karra-295,-60,19,1,11,3.245,,f,,,,
14/04/2022,30/06/2022,S0461,5114,SA,Australia/Adelaide,SC-23,,,,0,,,,,,,,No,f,,,,
14/04/2022,30/06/2022,S0462,5211,SA,Australia/Adelaide,SC-23,SolaX Power,X1-5.0T,5,1,Tindo Solar,Karra-275,0,22,2,9,4.95,No,f,,,,
14/04/2022,30/06/2022,S0463,5214,SA,Australia/Adelaide,SC-23,SolaX Power,X1-5.0T,5,1,Tindo Solar,Karra-295,-90,20,1,11,3.245,No,f,,t,5,8/01/2022 9:26
14/04/2022,30/06/2022,S0466,5061,SA,Australia/Adelaide,SC-23,Zeversolar,Evershine TL5000,5,1,Generic Module,270W,-90,35,1,9,2.43,No,f,,,,
14/04/2022,30/06/2022,S0471,5333,SA,Australia/Adelaide,KR-63,Generic Inverter,5kW,5,2,Tindo Solar,Karra-275,-60,15,1,11,3.025,No,f,,,,
14/04/2022,30/06/2022,S0475,5090,SA,Australia/Adelaide,KR-63,Fronius,Primo 5.0-1,5,1,Jinko Solar,JKM315M-60,-90,24,1,10,3.15,No,f,,,,
14/04/2022,30/06/2022,S0476,5158,SA,Australia/Adelaide,SC-23,SolaX Power,X1-4.2T,4.2,1,Tindo Solar,Karra-275,0,15,1,9,2.475,No,f,,,,
14/04/2022,30/06/2022,S0477,5171,SA,Australia/Adelaide,SC-23,Generic Inverter,5.06kW,5.06,1,Generic Module,250W,10,22,1,14,3.5,No,t,6 kw,,,
14/04/2022,30/06/2022,S0485,5540,SA,Australia/Adelaide,SC-23,SolaX Power,X1-5.0T,5,1,Generic Module,300W,0,35,1,10,3,No,f,,,,
14/04/2022,30/06/2022,S0489,5063,SA,Australia/Adelaide,SC-23,SolaX Power,X1-5.0T,5,2,Tindo Solar,Karra-275,-55,18,1,9,2.475,No,f,,,,
14/04/2022,30/06/2022,S0490,5501,SA,Australia/Adelaide,KR-63,ABB,TRIO-7.5-TL-OUTD,7.5,1,Yingli Solar,YL260P-29b,-26,20,2,10,5.2,No,f,,,,
14/04/2022,30/06/2022,S0491,5032,SA,Australia/Adelaide,KR-63,SolaX Power,X3-6.0-T,6,1,Tindo Solar,Karra-295,0,22,2,12,7.08,,f,,,,
14/04/2022,30/06/2022,S0493,5343,SA,Australia/Adelaide,SC-23,SolaX Power,X1-5.0T,5,1,Tindo Solar,Karra-295,-45,20,1,9,2.655,No,f,,,,
14/04/2022,30/06/2022,S0498,5159,SA,Australia/Adelaide,KR-63,Fronius,SYMO 6.0-3-M,6,1,Generic Module,285W,80,22.5,1,10,2.85,No,f,,,,
14/04/2022,30/06/2022,S0499,5112,SA,Australia/Adelaide,SC-23,SolaX Power,X1-2.0,2,1,Tindo Solar,Karra-295,-45,7,1,7,2.065,,f,,,,
14/04/2022,30/06/2022,S0503,5114,SA,Australia/Adelaide,KR-63,SolaX Power,X1-5.0T,5,1,Tindo Solar,Karra-300,0,22,1,10,3,No,f,,,,
14/04/2022,30/06/2022,S0504,5433,SA,Australia/Adelaide,SC-23,SolaX Power,SL-TL4400T,4,1,Yingli Solar,YL260P-29b,1,20,1,14,3.64,No,f,,,,
14/04/2022,30/06/2022,S0507,5700,SA,Australia/Adelaide,KR-63,SolaX Power,X1-5.0T,5,1,Tindo Solar,Karra-275,95,25,1,6,1.65,No,f,,,,
14/04/2022,30/06/2022,S0508,5097,SA,Australia/Adelaide,KR-63,Zeversolar,Eversol TLC5000,5,1,Tindo Solar,Karra-275,57,22,1,6,1.65,No,f,,,,
14/04/2022,30/06/2022,S0509,5012,SA,Australia/Adelaide,KR-63,Fronius,Fronius Symo 6.0-3-M,6,1,Generic Module,350W,-3,22,2,9,6.3,No,f,,,,
14/04/2022,30/06/2022,S0518,5066,SA,Australia/Adelaide,SC-23,SolaX Power,X1-3.3T,3.3,1,Tindo Solar,Karra-275,0,7,1,11,3.025,No,f,,,,
14/04/2022,30/06/2022,S0519,5125,SA,Australia/Adelaide,SC-23,SolaX Power,SL-TL2800,2.6,1,Yingli Solar,YL260P-29b,1,20,1,8,2.08,,f,,,,
14/04/2022,30/06/2022,S0522,5171,SA,Australia/Adelaide,KR-63,GoodWe,GW5000D-NS,5,1,Jinko Solar,JKM440M-6TL4,-90,20,1,10,4.4,No,f,,,,
14/04/2022,30/06/2022,S0542,5062,SA,Australia/Adelaide,SC-23,SolaX Power,X1-5.0T,5,1,Tindo Solar,Karra-295,0,2,1,9,2.655,No,f,,,,
14/04/2022,30/06/2022,S0545,5011,SA,Australia/Adelaide,SC-23,Sungrow,SG5K,5,1,Jinko Solar,JKM 310M-72,1,24,2,9,5.58,No,f,,,,
14/04/2022,30/06/2022,S0549,5139,SA,Australia/Adelaide,Mixed,Generic Inverter,4.05kW,4.05,1,Tindo Solar,Karra-295,100,25,1,9,2.655,No,f,,,,
14/04/2022,30/06/2022,S0550,5231,SA,Australia/Adelaide,SC-23,SolaX Power,X1-5.0T,5,1,Tindo Solar,Karra-295,0,22,1,8,2.36,No,f,,,,
14/04/2022,30/06/2022,S0554,5074,SA,Australia/Adelaide,KR-63,Fronius,Fronius Symo 8.2-3-M,8.2,1,Generic Module,310W,27,22.5,1,13,4.03,No,f,,,,
14/04/2022,30/06/2022,S0555,5032,SA,Australia/Adelaide,KR-63,Generic Inverter,6kW,6,1,Yingli Solar,YL260P-29b,1,25,1,12,3.12,No,f,,,,
14/04/2022,30/06/2022,S0556,5098,SA,Australia/Adelaide,SC-23,SolaX Power,X1-5.0T,5,1,Tindo Solar,Karra-275,45,25,1,9,2.475,Yes,t,Powerwall,,,
14/04/2022,30/06/2022,S0561,5555,SA,Australia/Adelaide,SC-23,SolarEdge,SE5000,5,1,Generic Module,300W,-60,25,1,6,1.8,,f,,,,
14/04/2022,30/06/2022,S0572,5125,SA,Australia/Adelaide,SC-23,Generic Inverter,1.5kW,1.5,1,Tindo Solar,Karra-275,-45,22,1,6,1.65,,f,,,,
14/04/2022,30/06/2022,S0574,5037,SA,Australia/Adelaide,SC-23,SolaX Power,X1-5.0T,5,1,Tindo Solar,Karra-295,90,22,1,11,3.245,No,f,,,,
14/04/2022,30/06/2022,S0575,5069,SA,Australia/Adelaide,SC-23,SolaX Power,SL-TL3000,3,1,Yingli Solar,YL260P-29b,1,26,1,12,3.12,No,f,,,,
14/04/2022,30/06/2022,S0576,5034,SA,Australia/Adelaide,KR-63,Fronius,Primo 5.0-1,5,1,Canadian Solar Inc. (CSI),CS6X - 285P,0,30,1,23,6.555,No,f,,t,5,21/03/2022 12:32
14/04/2022,30/06/2022,S0586,5095,SA,Australia/Adelaide,KR-63,Generic Inverter,2.8kW,2.8,1,Generic Module,220W,20,25,2,8,3.52,No,f,,,,
14/04/2022,30/06/2022,S0593,5171,SA,Australia/Adelaide,KR-63,SolaX Power,SL-TL4400T,4,1,Jinko Solar,JKM 250P-60,90,20,2,7,3.5,No,f,,,,
14/04/2022,30/06/2022,S0594,5110,SA,Australia/Adelaide,KR-63,SolaX Power,X1-5.0T,5,1,Tindo Solar,Karra-315,0,15,1,13,4.095,,f,,,,
30/06/2022,30/06/2022,S0597,5523,SA,Australia/Adelaide,SC-23,SolaX Power,X1-5.0T,5,1,Tindo Solar,Karra-295,50,15,1,6,1.77,,,,,,
